"Season_End_Year","Squad","Comp","Team_or_Opponent","Num_Players","Mins_Per_90","Gls_Standard","Sh_Standard","SoT_Standard","SoT_percent_Standard","Sh_per_90_Standard","SoT_per_90_Standard","G_per_Sh_Standard","G_per_SoT_Standard","Dist_Standard","FK_Standard","PK_Standard","PKatt_Standard","xG_Expected","npxG_Expected","npxG_per_Sh_Expected","G_minus_xG_Expected","np:G_minus_xG_Expected","Url"
2018,"Napoli","Serie A","opponent",23,38,29,326,96,29.4,8.58,2.53,0.08,0.28,19.4,15,2,2,27.1,25.5,0.08,1.9,1.5,"https://fbref.com/en/squads/d48ad4ff/2017-2018/Napoli-Stats"
2018,"Newcastle Utd","Premier League","team",27,38,38,450,146,32.4,11.84,3.84,0.08,0.26,19.2,21,0,1,41.6,40.9,0.09,-3.6,-2.9,"https://fbref.com/en/squads/b2b47a98/2017-2018/Newcastle-United-Stats"
2018,"Newcastle Utd","Premier League","opponent",27,38,44,471,142,30.1,12.39,3.74,0.08,0.28,17.5,13,4,6,52.4,47.6,0.1,-8.4,-7.6,"https://fbref.com/en/squads/b2b47a98/2017-2018/Newcastle-United-Stats"
2018,"Nice","Ligue 1","team",31,38,52,475,170,35.8,12.5,4.47,0.09,0.26,19.9,33,8,10,49.2,41.7,0.09,2.8,2.3,"https://fbref.com/en/squads/132ebc33/2017-2018/Nice-Stats"
2018,"Nice","Ligue 1","opponent",31,38,49,482,149,30.9,12.68,3.92,0.1,0.31,19.5,23,3,5,49.5,45.6,0.1,-0.5,0.4,"https://fbref.com/en/squads/132ebc33/2017-2018/Nice-Stats"
2018,"Paris S-G","Ligue 1","team",28,38,100,615,238,38.7,16.18,6.26,0.15,0.39,17.4,36,7,9,86.1,79.3,0.13,13.9,13.7,"https://fbref.com/en/squads/e2d8892c/2017-2018/Paris-Saint-Germain-Stats"
2018,"Paris S-G","Ligue 1","opponent",28,38,28,407,115,28.3,10.71,3.03,0.06,0.22,21.1,25,3,5,34.3,30.5,0.08,-6.3,-5.5,"https://fbref.com/en/squads/e2d8892c/2017-2018/Paris-Saint-Germain-Stats"
2018,"RB Leipzig","Bundesliga","team",23,34,57,484,172,35.5,14.24,5.06,0.11,0.31,18,24,4,5,51.9,48,0.1,5.1,5,"https://fbref.com/en/squads/acbb6a5b/2017-2018/RB-Leipzig-Stats"
2018,"RB Leipzig","Bundesliga","opponent",23,34,53,379,146,38.5,11.15,4.29,0.13,0.33,17.3,11,5,5,46.7,42.8,0.11,6.3,5.2,"https://fbref.com/en/squads/acbb6a5b/2017-2018/RB-Leipzig-Stats"
2018,"Real Madrid","La Liga","team",24,38,91,689,267,38.8,18.13,7.03,0.12,0.31,17.3,28,8,10,85.4,77.5,0.12,5.6,5.5,"https://fbref.com/en/squads/53a2f082/2017-2018/Real-Madrid-Stats"
2018,"Real Madrid","La Liga","opponent",24,38,42,391,140,35.8,10.29,3.68,0.1,0.29,18.6,17,2,4,43.2,40.6,0.11,-1.2,-0.6,"https://fbref.com/en/squads/53a2f082/2017-2018/Real-Madrid-Stats"
2018,"Real Sociedad","La Liga","team",27,38,64,516,165,32,13.58,4.34,0.12,0.36,18.7,23,4,5,53.7,49.7,0.1,10.3,10.3,"https://fbref.com/en/squads/e31d1cd9/2017-2018/Real-Sociedad-Stats"
2018,"Real Sociedad","La Liga","opponent",27,38,58,381,142,37.3,10.03,3.74,0.14,0.37,18.1,19,6,8,50.5,44.1,0.12,7.5,7.9,"https://fbref.com/en/squads/e31d1cd9/2017-2018/Real-Sociedad-Stats"
2018,"Rennes","Ligue 1","team",28,38,48,461,135,29.3,12.13,3.55,0.09,0.31,19.6,29,6,8,49.8,43.6,0.1,-1.8,-1.6,"https://fbref.com/en/squads/b3072e00/2017-2018/Rennes-Stats"
2018,"Rennes","Ligue 1","opponent",28,38,42,421,141,33.5,11.08,3.71,0.09,0.26,18.7,16,5,8,49.3,43,0.1,-7.3,-6,"https://fbref.com/en/squads/b3072e00/2017-2018/Rennes-Stats"
2018,"Roma","Serie A","team",27,38,56,637,199,31.2,16.76,5.24,0.08,0.27,18.6,29,3,6,63.4,58.8,0.09,-7.4,-5.8,"https://fbref.com/en/squads/cf74a709/2017-2018/Roma-Stats"
2018,"Roma","Serie A","opponent",27,38,28,416,133,32,10.95,3.5,0.06,0.19,19.3,13,3,5,37.2,33.2,0.08,-9.2,-8.2,"https://fbref.com/en/squads/cf74a709/2017-2018/Roma-Stats"
2018,"SPAL","Serie A","team",29,38,37,368,109,29.6,9.68,2.87,0.09,0.29,19.6,24,5,6,35.8,31.1,0.09,1.2,0.9,"https://fbref.com/en/squads/1d2fe027/2017-2018/SPAL-Stats"
2018,"SPAL","Serie A","opponent",29,38,55,570,188,33,15,4.95,0.08,0.24,19.3,22,9,12,57.7,48.4,0.09,-2.7,-2.4,"https://fbref.com/en/squads/1d2fe027/2017-2018/SPAL-Stats"
2018,"Saint-Étienne","Ligue 1","team",30,38,45,412,139,33.7,10.84,3.66,0.09,0.27,19.1,18,7,11,51,42.8,0.11,-6,-4.8,"https://fbref.com/en/squads/d298ef2c/2017-2018/Saint-Etienne-Stats"
2018,"Saint-Étienne","Ligue 1","opponent",30,38,49,522,172,33,13.74,4.53,0.08,0.25,18.9,24,6,7,54.1,48.6,0.1,-5.1,-5.6,"https://fbref.com/en/squads/d298ef2c/2017-2018/Saint-Etienne-Stats"
2018,"Sampdoria","Serie A","team",27,38,56,474,163,34.4,12.47,4.29,0.1,0.3,18.8,26,7,8,53.5,47.2,0.1,2.5,1.8,"https://fbref.com/en/squads/8ff9e3b3/2017-2018/Sampdoria-Stats"
2018,"Sampdoria","Serie A","opponent",27,38,58,537,190,35.4,14.13,5,0.1,0.27,17.8,9,6,10,60.3,52.4,0.1,-2.3,-0.4,"https://fbref.com/en/squads/8ff9e3b3/2017-2018/Sampdoria-Stats"
2018,"Sassuolo","Serie A","team",28,38,28,489,134,27.4,12.87,3.53,0.05,0.18,19.5,18,4,10,46.3,38.4,0.08,-18.3,-14.4,"https://fbref.com/en/squads/e2befd26/2017-2018/Sassuolo-Stats"
2018,"Sassuolo","Serie A","opponent",28,38,57,469,175,37.3,12.34,4.61,0.12,0.31,18.5,20,2,3,48.9,46.5,0.1,8.1,8.5,"https://fbref.com/en/squads/e2befd26/2017-2018/Sassuolo-Stats"
2018,"Schalke 04","Bundesliga","team",24,34,50,396,153,38.6,11.65,4.5,0.1,0.26,18.4,14,10,10,46.7,38.9,0.1,3.3,1.1,"https://fbref.com/en/squads/c539e393/2017-2018/Schalke-04-Stats"
