"Season_End_Year","Squad","Comp","Team_or_Opponent","Num_Players","Mins_Per_90","Tkl_Tackles","TklW_Tackles","Def 3rd_Tackles","Mid 3rd_Tackles","Att 3rd_Tackles","Tkl_Challenges","Att_Challenges","Tkl_percent_Challenges","Lost_Challenges","Blocks_Blocks","Sh_Blocks","Pass_Blocks","Int","Tkl+Int","Clr","Err","Url"
2018,"Cagliari","Serie A","opponent",29,38,521,357,233,228,60,171,409,41.8,238,372,97,275,401,922,1056,16,"https://fbref.com/en/squads/c4260e09/2017-2018/Cagliari-Stats"
2018,"Celta Vigo","La Liga","team",23,38,589,420,304,232,53,218,556,39.2,338,327,101,226,497,1086,780,10,"https://fbref.com/en/squads/f25da7fb/2017-2018/Celta-Vigo-Stats"
2018,"Celta Vigo","La Liga","opponent",23,38,655,426,296,288,71,227,603,37.6,376,372,103,269,495,1150,735,13,"https://fbref.com/en/squads/f25da7fb/2017-2018/Celta-Vigo-Stats"
2018,"Chelsea","Premier League","team",26,38,636,426,321,251,64,208,550,37.8,342,365,107,258,424,1060,842,24,"https://fbref.com/en/squads/cff3d9bb/2017-2018/Chelsea-Stats"
2018,"Chelsea","Premier League","opponent",26,38,635,427,326,236,73,221,734,30.1,513,478,173,305,547,1182,1006,19,"https://fbref.com/en/squads/cff3d9bb/2017-2018/Chelsea-Stats"
2018,"Chievo","Serie A","team",25,38,543,367,273,199,71,208,566,36.7,358,443,158,285,444,987,1140,14,"https://fbref.com/en/squads/cc919b35/2017-2018/Chievo-Stats"
2018,"Chievo","Serie A","opponent",25,38,516,339,244,212,60,174,378,46,204,333,77,256,400,916,1011,11,"https://fbref.com/en/squads/cc919b35/2017-2018/Chievo-Stats"
2018,"Crotone","Serie A","team",29,38,697,440,365,255,77,222,613,36.2,391,449,119,330,578,1275,1233,10,"https://fbref.com/en/squads/3074d7b1/2017-2018/Crotone-Stats"
2018,"Crotone","Serie A","opponent",29,38,555,388,248,232,75,167,418,40,251,406,83,323,468,1023,871,15,"https://fbref.com/en/squads/3074d7b1/2017-2018/Crotone-Stats"
2018,"Crystal Palace","Premier League","team",28,38,686,447,393,237,56,260,666,39,406,466,117,349,552,1238,1110,22,"https://fbref.com/en/squads/47c64c55/2017-2018/Crystal-Palace-Stats"
2018,"Crystal Palace","Premier League","opponent",28,38,721,447,332,288,101,239,718,33.3,479,404,137,267,409,1130,1034,25,"https://fbref.com/en/squads/47c64c55/2017-2018/Crystal-Palace-Stats"
2018,"Dijon","Ligue 1","team",26,38,685,462,363,264,58,250,687,36.4,437,385,118,267,544,1229,977,20,"https://fbref.com/en/squads/8dfb7350/2017-2018/Dijon-Stats"
2018,"Dijon","Ligue 1","opponent",26,38,627,414,280,268,79,183,624,29.3,441,361,95,266,403,1030,902,13,"https://fbref.com/en/squads/8dfb7350/2017-2018/Dijon-Stats"
2018,"Dortmund","Bundesliga","team",30,34,695,510,305,307,83,346,602,57.5,256,390,73,317,336,1031,657,17,"https://fbref.com/en/squads/add600ae/2017-2018/Dortmund-Stats"
2018,"Dortmund","Bundesliga","opponent",30,34,696,513,355,290,51,375,679,55.2,304,422,122,300,446,1142,843,18,"https://fbref.com/en/squads/add600ae/2017-2018/Dortmund-Stats"
2018,"Eibar","La Liga","team",27,38,643,436,271,282,90,258,613,42.1,355,349,53,296,554,1197,712,9,"https://fbref.com/en/squads/bea5c710/2017-2018/Eibar-Stats"
2018,"Eibar","La Liga","opponent",27,38,671,435,402,231,38,297,649,45.8,352,401,115,286,510,1181,1156,4,"https://fbref.com/en/squads/bea5c710/2017-2018/Eibar-Stats"
2018,"Eint Frankfurt","Bundesliga","team",28,34,623,483,271,295,57,289,541,53.4,252,465,101,364,409,1032,918,8,"https://fbref.com/en/squads/f0ac8ee6/2017-2018/Eintracht-Frankfurt-Stats"
2018,"Eint Frankfurt","Bundesliga","opponent",28,34,658,477,356,245,57,304,550,55.3,246,454,83,371,369,1027,749,23,"https://fbref.com/en/squads/f0ac8ee6/2017-2018/Eintracht-Frankfurt-Stats"
2018,"Espanyol","La Liga","team",25,38,716,500,357,278,81,271,700,38.7,429,362,116,246,515,1231,902,9,"https://fbref.com/en/squads/a8661628/2017-2018/Espanyol-Stats"
2018,"Espanyol","La Liga","opponent",25,38,661,443,318,275,68,273,596,45.8,323,404,95,309,433,1094,846,9,"https://fbref.com/en/squads/a8661628/2017-2018/Espanyol-Stats"
2018,"Everton","Premier League","team",30,38,644,447,360,206,78,223,612,36.4,389,426,160,266,514,1158,1308,22,"https://fbref.com/en/squads/d3fd31cc/2017-2018/Everton-Stats"
2018,"Everton","Premier League","opponent",30,38,578,374,279,232,67,197,461,42.7,264,417,88,329,408,986,929,19,"https://fbref.com/en/squads/d3fd31cc/2017-2018/Everton-Stats"
2018,"Fiorentina","Serie A","team",27,38,742,497,362,284,96,267,656,40.7,389,438,75,363,489,1231,983,17,"https://fbref.com/en/squads/421387cf/2017-2018/Fiorentina-Stats"
2018,"Fiorentina","Serie A","opponent",27,38,627,448,331,242,54,220,568,38.7,348,398,138,260,423,1050,1018,17,"https://fbref.com/en/squads/421387cf/2017-2018/Fiorentina-Stats"
2018,"Freiburg","Bundesliga","team",29,34,639,465,300,289,50,284,551,51.5,267,421,117,304,392,1031,802,6,"https://fbref.com/en/squads/a486e511/2017-2018/Freiburg-Stats"
2018,"Freiburg","Bundesliga","opponent",29,34,627,473,258,291,78,235,454,51.8,219,449,96,353,359,986,650,11,"https://fbref.com/en/squads/a486e511/2017-2018/Freiburg-Stats"
2018,"Genoa","Serie A","team",33,38,551,395,281,223,47,191,524,36.5,333,412,119,293,394,945,950,11,"https://fbref.com/en/squads/658bf2de/2017-2018/Genoa-Stats"
2018,"Genoa","Serie A","opponent",33,38,559,388,283,221,55,176,507,34.7,331,400,102,298,394,953,1003,9,"https://fbref.com/en/squads/658bf2de/2017-2018/Genoa-Stats"
2018,"Getafe","La Liga","team",32,38,715,491,369,267,79,276,732,37.7,456,350,69,281,487,1202,899,5,"https://fbref.com/en/squads/7848bd64/2017-2018/Getafe-Stats"
2018,"Getafe","La Liga","opponent",32,38,696,480,350,273,73,288,584,49.3,296,357,83,274,515,1211,788,14,"https://fbref.com/en/squads/7848bd64/2017-2018/Getafe-Stats"
2018,"Girona","La Liga","team",25,38,611,403,299,254,58,240,606,39.6,366,329,84,245,490,1101,858,6,"https://fbref.com/en/squads/9024a00a/2017-2018/Girona-Stats"
