"Season_End_Year","Squad","Comp","Team_or_Opponent","Num_Players","Mins_Per_90","Cmp_Total","Att_Total","Cmp_percent_Total","TotDist_Total","PrgDist_Total","Cmp_Short","Att_Short","Cmp_percent_Short","Cmp_Medium","Att_Medium","Cmp_percent_Medium","Cmp_Long","Att_Long","Cmp_percent_Long","Ast","xAG","xA_Expected","A_minus_xAG_Expected","KP","Final_Third","PPA","CrsPA","PrgP","Url"
2018,"Roma","Serie A","team",27,38,17482,21620,80.9,317322,114883,7481,8436,88.7,7193,8436,85.3,2187,3498,62.5,37,46.7,41.5,-9.7,489,1571,391,112,1989,"https://fbref.com/en/squads/cf74a709/2017-2018/Roma-Stats"
2018,"Roma","Serie A","opponent",27,38,11800,15899,74.2,211619,88160,5468,6275,87.1,4616,5736,80.5,1376,3010,45.7,22,26.2,23,-4.2,313,895,207,62,1148,"https://fbref.com/en/squads/cf74a709/2017-2018/Roma-Stats"
2018,"SPAL","Serie A","team",29,38,12213,15961,76.5,234078,88899,4909,5657,86.8,5287,6253,84.6,1690,3200,52.8,14,21.5,21.4,-7.5,253,982,198,60,1218,"https://fbref.com/en/squads/1d2fe027/2017-2018/SPAL-Stats"
2018,"SPAL","Serie A","opponent",29,38,16318,20159,80.9,289545,104170,7397,8358,88.5,6599,7796,84.6,1865,3035,61.4,33,37.5,37.3,-4.5,428,1387,333,90,1794,"https://fbref.com/en/squads/1d2fe027/2017-2018/SPAL-Stats"
2018,"Saint-Étienne","Ligue 1","team",30,38,15064,19124,78.8,271838,100875,6795,7751,87.7,6024,7118,84.6,1847,3173,58.2,31,35.4,32.9,-4.4,315,1092,233,54,1552,"https://fbref.com/en/squads/d298ef2c/2017-2018/Saint-Etienne-Stats"
2018,"Saint-Étienne","Ligue 1","opponent",30,38,14186,18142,78.2,251443,93833,6608,7505,88,5162,6220,83,1827,3171,57.6,30,37.4,37.1,-7.4,390,1150,257,89,1470,"https://fbref.com/en/squads/d298ef2c/2017-2018/Saint-Etienne-Stats"
2018,"Sampdoria","Serie A","team",27,38,16259,20378,79.8,288968,110770,7299,8261,88.4,6773,7932,85.4,1761,3256,54.1,33,35.5,32.8,-2.5,333,1274,321,62,1627,"https://fbref.com/en/squads/8ff9e3b3/2017-2018/Sampdoria-Stats"
2018,"Sampdoria","Serie A","opponent",27,38,13641,17740,76.9,262205,101202,5796,6704,86.5,5383,6413,83.9,2062,3477,59.3,41,43.4,32.7,-2.4,423,972,324,115,1431,"https://fbref.com/en/squads/8ff9e3b3/2017-2018/Sampdoria-Stats"
2018,"Sassuolo","Serie A","team",28,38,11605,15909,72.9,235466,95474,4262,5148,82.8,5348,6629,80.7,1819,3460,52.6,16,27.7,25.9,-11.7,362,1105,231,82,1492,"https://fbref.com/en/squads/e2befd26/2017-2018/Sassuolo-Stats"
2018,"Sassuolo","Serie A","opponent",28,38,16983,21402,79.4,305392,114556,7546,8563,88.1,7081,8420,84.1,1930,3404,56.7,38,36.6,33.4,1.4,357,1392,304,75,1723,"https://fbref.com/en/squads/e2befd26/2017-2018/Sassuolo-Stats"
