"Season_End_Year","Squad","Comp","Team_or_Opponent","Num_Players","Age","Poss","MP_Playing","Starts_Playing","Min_Playing","Mins_Per_90_Playing","Gls","Ast","G+A","G_minus_PK","PK","PKatt","CrdY","CrdR","xG_Expected","npxG_Expected","xAG_Expected","npxG+xAG_Expected","PrgC_Progression","PrgP_Progression","Gls_Per","Ast_Per","G+A_Per","G_minus_PK_Per","G+A_minus_PK_Per","xG_Per","xAG_Per","xG+xAG_Per","npxG_Per","npxG+xAG_Per","Url"
2018,"Dortmund","Bundesliga","team",30,25.9,59.1,34,374,3060,34,62,44,106,59,3,6,41,NA,66,61.4,48.9,110.3,733,1712,1.82,1.29,3.12,1.74,3.03,1.94,1.44,3.38,1.81,3.24,"https://fbref.com/en/squads/add600ae/2017-2018/Dortmund-Stats"
2018,"Dortmund","Bundesliga","opponent",30,25.6,40.9,34,374,3060,34,47,35,82,44,3,3,57,3,42.2,40.1,31.1,71.2,506,1132,1.38,1.03,2.41,1.29,2.32,1.24,0.91,2.16,1.18,2.09,"https://fbref.com/en/squads/add600ae/2017-2018/Dortmund-Stats"
2018,"Eibar","La Liga","team",27,27.4,52,38,418,3420,38,43,31,74,41,2,3,86,3,40.9,38.6,30.2,68.8,635,1468,1.13,0.82,1.95,1.08,1.89,1.08,0.79,1.87,1.02,1.81,"https://fbref.com/en/squads/bea5c710/2017-2018/Eibar-Stats"
2018,"Eibar","La Liga","opponent",27,26.8,48,38,418,3420,38,47,36,83,43,4,4,78,6,44.4,41.3,34.4,75.7,488,1056,1.24,0.95,2.18,1.13,2.08,1.17,0.91,2.08,1.09,1.99,"https://fbref.com/en/squads/bea5c710/2017-2018/Eibar-Stats"
2018,"Eint Frankfurt","Bundesliga","team",28,26.4,47.9,34,374,3060,34,44,34,78,42,2,2,72,NA,42.2,40.9,30.7,71.6,492,1292,1.29,1,2.29,1.24,2.24,1.24,0.9,2.14,1.2,2.11,"https://fbref.com/en/squads/f0ac8ee6/2017-2018/Eintracht-Frankfurt-Stats"
2018,"Eint Frankfurt","Bundesliga","opponent",28,25.5,52.1,34,374,3060,34,43,32,75,41,2,3,52,1,41.7,39.4,29.6,69.1,555,1265,1.26,0.94,2.21,1.21,2.15,1.23,0.87,2.1,1.16,2.03,"https://fbref.com/en/squads/f0ac8ee6/2017-2018/Eintracht-Frankfurt-Stats"
2018,"Espanyol","La Liga","team",25,26.8,46.9,38,418,3420,38,33,24,57,31,2,3,88,1,41.1,38.7,27.8,66.4,532,1276,0.87,0.63,1.5,0.82,1.45,1.08,0.73,1.81,1.02,1.75,"https://fbref.com/en/squads/a8661628/2017-2018/Espanyol-Stats"
2018,"Espanyol","La Liga","opponent",25,26.5,53.1,38,418,3420,38,40,26,66,36,4,6,113,3,52.3,47.5,35.9,83.5,706,1615,1.05,0.68,1.74,0.95,1.63,1.38,0.95,2.32,1.25,2.2,"https://fbref.com/en/squads/a8661628/2017-2018/Espanyol-Stats"
2018,"Everton","Premier League","team",30,26.7,45.5,38,418,3420,38,42,26,68,37,5,8,55,NA,40.5,34.1,24.7,58.8,477,1161,1.11,0.68,1.79,0.97,1.66,1.07,0.65,1.71,0.9,1.55,"https://fbref.com/en/squads/d3fd31cc/2017-2018/Everton-Stats"
2018,"Everton","Premier League","opponent",30,27,54.5,38,418,3420,38,58,51,109,55,3,5,49,5,52.4,48.7,38.2,86.9,799,1608,1.53,1.34,2.87,1.45,2.79,1.38,1.01,2.38,1.28,2.29,"https://fbref.com/en/squads/d3fd31cc/2017-2018/Everton-Stats"
2018,"Fiorentina","Serie A","team",27,25,52.6,38,418,3420,38,53,32,85,46,7,8,89,NA,54.5,48.3,37.9,86.2,737,1695,1.39,0.84,2.24,1.21,2.05,1.43,1,2.43,1.27,2.27,"https://fbref.com/en/squads/421387cf/2017-2018/Fiorentina-Stats"
2018,"Fiorentina","Serie A","opponent",27,26.9,47.4,38,418,3420,38,46,33,79,44,2,3,98,8,40.8,38.5,28.6,67.1,685,1442,1.21,0.87,2.08,1.16,2.03,1.07,0.75,1.83,1.01,1.77,"https://fbref.com/en/squads/421387cf/2017-2018/Fiorentina-Stats"
2018,"Freiburg","Bundesliga","team",29,24.8,44.8,34,374,3060,34,32,21,53,26,6,10,56,NA,39.6,31.7,25,56.8,399,1061,0.94,0.62,1.56,0.76,1.38,1.16,0.74,1.9,0.93,1.67,"https://fbref.com/en/squads/a486e511/2017-2018/Freiburg-Stats"
2018,"Freiburg","Bundesliga","opponent",29,25.6,55.2,34,374,3060,34,52,35,87,48,4,5,52,0,46.1,42.2,33,75.2,606,1464,1.53,1.03,2.56,1.41,2.44,1.36,0.97,2.33,1.24,2.21,"https://fbref.com/en/squads/a486e511/2017-2018/Freiburg-Stats"
2018,"Genoa","Serie A","team",33,27.9,46.3,38,418,3420,38,31,18,49,27,4,5,75,NA,43.5,39.6,31.9,71.5,699,1475,0.82,0.47,1.29,0.71,1.18,1.15,0.84,1.99,1.04,1.88,"https://fbref.com/en/squads/658bf2de/2017-2018/Genoa-Stats"
2018,"Genoa","Serie A","opponent",33,26.9,53.7,38,418,3420,38,41,30,71,37,4,4,72,6,42.6,39.8,31.8,71.5,801,1759,1.08,0.79,1.87,0.97,1.76,1.12,0.84,1.96,1.05,1.88,"https://fbref.com/en/squads/658bf2de/2017-2018/Genoa-Stats"
2018,"Getafe","La Liga","team",32,28.2,40.2,38,418,3420,38,41,27,68,36,5,12,134,5,48.2,38.6,29.6,68.2,374,1092,1.08,0.71,1.79,0.95,1.66,1.27,0.78,2.05,1.02,1.79,"https://fbref.com/en/squads/7848bd64/2017-2018/Getafe-Stats"
2018,"Getafe","La Liga","opponent",32,26.7,59.8,38,418,3420,38,33,28,61,31,2,4,107,3,39.7,36.6,29.9,66.5,660,1580,0.87,0.74,1.61,0.82,1.55,1.04,0.79,1.83,0.96,1.75,"https://fbref.com/en/squads/7848bd64/2017-2018/Getafe-Stats"
2018,"Girona","La Liga","team",25,26.3,46.8,38,418,3420,38,50,31,81,44,6,8,102,0,50.6,44.4,34.4,78.8,590,1215,1.32,0.82,2.13,1.16,1.97,1.33,0.9,2.24,1.17,2.07,"https://fbref.com/en/squads/9024a00a/2017-2018/Girona-Stats"
2018,"Girona","La Liga","opponent",25,26.8,53.2,38,418,3420,38,56,39,95,52,4,5,112,3,50.4,46.5,34.6,81.1,721,1436,1.47,1.03,2.5,1.37,2.39,1.33,0.91,2.24,1.22,2.13,"https://fbref.com/en/squads/9024a00a/2017-2018/Girona-Stats"
2018,"Gladbach","Bundesliga","team",27,25.7,52,34,374,3060,34,46,26,72,40,6,7,47,NA,51.1,45.8,35,80.8,578,1385,1.35,0.76,2.12,1.18,1.94,1.5,1.03,2.53,1.35,2.38,"https://fbref.com/en/squads/32f3ee20/2017-2018/Monchengladbach-Stats"
2018,"Gladbach","Bundesliga","opponent",27,25.4,48,34,374,3060,34,51,39,90,47,4,4,53,3,52,48.8,41.8,90.7,572,1529,1.5,1.15,2.65,1.38,2.53,1.53,1.23,2.76,1.44,2.67,"https://fbref.com/en/squads/32f3ee20/2017-2018/Monchengladbach-Stats"
2018,"Guingamp","Ligue 1","team",23,27.2,49.7,38,418,3420,38,46,27,73,40,6,7,67,2,45.5,40.1,30,70.1,763,1519,1.21,0.71,1.92,1.05,1.76,1.2,0.79,1.99,1.06,1.85,"https://fbref.com/en/squads/d41b5f53/2017-2018/Guingamp-Stats"
2018,"Guingamp","Ligue 1","opponent",23,25.8,50.3,38,418,3420,38,58,48,106,53,5,7,76,6,49,43.4,36.1,79.5,763,1493,1.53,1.26,2.79,1.39,2.66,1.29,0.95,2.24,1.14,2.09,"https://fbref.com/en/squads/d41b5f53/2017-2018/Guingamp-Stats"
2018,"Hamburger SV","Bundesliga","team",29,25,49,34,374,3060,34,28,18,46,25,3,5,63,NA,37.7,33.8,24.1,58,568,1283,0.82,0.53,1.35,0.74,1.26,1.11,0.71,1.82,0.99,1.7,"https://fbref.com/en/squads/26790c6a/2017-2018/Hamburger-SV-Stats"
2018,"Hamburger SV","Bundesliga","opponent",29,25.6,51,34,374,3060,34,52,37,89,49,3,4,60,3,55.9,52.8,41.8,94.5,567,1265,1.53,1.09,2.62,1.44,2.53,1.64,1.23,2.87,1.55,2.78,"https://fbref.com/en/squads/26790c6a/2017-2018/Hamburger-SV-Stats"
2018,"Hannover 96","Bundesliga","team",26,26.4,46.9,34,374,3060,34,44,26,70,40,4,5,63,NA,44.6,40.6,30.7,71.4,472,1237,1.29,0.76,2.06,1.18,1.94,1.31,0.9,2.22,1.2,2.1,"https://fbref.com/en/squads/60b5e41f/2017-2018/Hannover-96-Stats"
2018,"Hannover 96","Bundesliga","opponent",26,25.6,53.1,34,374,3060,34,54,40,94,52,2,4,66,2,55.6,52.5,41.4,93.9,588,1478,1.59,1.18,2.76,1.53,2.71,1.64,1.22,2.85,1.54,2.76,"https://fbref.com/en/squads/60b5e41f/2017-2018/Hannover-96-Stats"
2018,"Hellas Verona","Serie A","team",32,25.9,41.9,38,418,3420,38,30,19,49,23,7,7,98,NA,33,27.7,21.1,48.8,635,1077,0.79,0.5,1.29,0.61,1.11,0.87,0.56,1.42,0.73,1.28,"https://fbref.com/en/squads/0e72edf2/2017-2018/Hellas-Verona-Stats"
