"Season_End_Year","Squad","Comp","Team_or_Opponent","Num_Players","Mins_Per_90","Att","Live_Pass","Dead_Pass","FK_Pass","TB_Pass","Sw_Pass","Crs_Pass","TI_Pass","CK_Pass","In_Corner","Out_Corner","Str_Corner","Cmp_Outcomes","Off_Outcomes","Blocks_Outcomes","Url"
2018,"Chievo","Serie A","team",25,38,16994,14945,1947,531,20,176,801,779,147,87,51,1,12721,102,340,"https://fbref.com/en/squads/cc919b35/2017-2018/Chievo-Stats"
2018,"Chievo","Serie A","opponent",25,38,21425,19383,1966,551,32,218,853,825,242,86,84,2,17127,76,390,"https://fbref.com/en/squads/cc919b35/2017-2018/Chievo-Stats"
2018,"Crotone","Serie A","team",29,38,14929,12922,1919,520,17,98,635,806,134,77,38,1,10315,88,398,"https://fbref.com/en/squads/3074d7b1/2017-2018/Crotone-Stats"
2018,"Crotone","Serie A","opponent",29,38,22839,20755,2029,548,40,151,901,859,257,111,111,5,18113,55,466,"https://fbref.com/en/squads/3074d7b1/2017-2018/Crotone-Stats"
2018,"Crystal Palace","Premier League","team",28,38,16114,14109,1949,456,30,83,703,874,210,85,37,68,11809,56,361,"https://fbref.com/en/squads/47c64c55/2017-2018/Crystal-Palace-Stats"
2018,"Crystal Palace","Premier League","opponent",28,38,20017,17972,1969,451,47,179,792,898,209,102,64,7,15474,76,448,"https://fbref.com/en/squads/47c64c55/2017-2018/Crystal-Palace-Stats"
2018,"Dijon","Ligue 1","team",26,38,17343,15289,1981,540,59,190,567,857,153,61,47,3,13255,73,326,"https://fbref.com/en/squads/8dfb7350/2017-2018/Dijon-Stats"
2018,"Dijon","Ligue 1","opponent",26,38,18476,16361,2028,507,64,212,817,893,231,112,91,0,14327,87,365,"https://fbref.com/en/squads/8dfb7350/2017-2018/Dijon-Stats"
2018,"Dortmund","Bundesliga","team",30,34,20632,18736,1813,540,23,117,585,786,162,69,60,12,16710,83,369,"https://fbref.com/en/squads/add600ae/2017-2018/Dortmund-Stats"
2018,"Dortmund","Bundesliga","opponent",30,34,14089,12253,1719,462,14,109,542,765,133,60,61,1,10274,117,398,"https://fbref.com/en/squads/add600ae/2017-2018/Dortmund-Stats"
2018,"Eibar","La Liga","team",27,38,17961,15706,2171,590,17,323,1055,1025,229,60,149,2,12725,84,396,"https://fbref.com/en/squads/bea5c710/2017-2018/Eibar-Stats"
2018,"Eibar","La Liga","opponent",27,38,16795,14423,2216,546,64,177,473,1061,140,50,40,7,11768,156,350,"https://fbref.com/en/squads/bea5c710/2017-2018/Eibar-Stats"
2018,"Eint Frankfurt","Bundesliga","team",28,34,15568,13652,1831,572,19,152,586,783,158,51,92,1,11467,85,440,"https://fbref.com/en/squads/f0ac8ee6/2017-2018/Eintracht-Frankfurt-Stats"
2018,"Eint Frankfurt","Bundesliga","opponent",28,34,16827,14874,1845,586,15,162,601,770,143,50,74,4,12584,108,440,"https://fbref.com/en/squads/f0ac8ee6/2017-2018/Eintracht-Frankfurt-Stats"
2018,"Espanyol","La Liga","team",25,38,17192,15114,2002,602,34,179,720,832,160,64,87,0,12753,76,378,"https://fbref.com/en/squads/a8661628/2017-2018/Espanyol-Stats"
2018,"Espanyol","La Liga","opponent",25,38,19826,17806,1940,558,46,236,715,839,196,71,78,2,15453,80,323,"https://fbref.com/en/squads/a8661628/2017-2018/Espanyol-Stats"
2018,"Everton","Premier League","team",30,38,16472,14537,1853,417,25,114,629,850,150,70,62,7,11953,82,397,"https://fbref.com/en/squads/d3fd31cc/2017-2018/Everton-Stats"
2018,"Everton","Premier League","opponent",30,38,20161,18034,2068,511,42,174,802,996,212,112,53,11,15346,59,367,"https://fbref.com/en/squads/d3fd31cc/2017-2018/Everton-Stats"
2018,"Fiorentina","Serie A","team",27,38,19625,17631,1912,492,62,113,823,846,210,56,135,3,15445,82,367,"https://fbref.com/en/squads/421387cf/2017-2018/Fiorentina-Stats"
2018,"Fiorentina","Serie A","opponent",27,38,17877,15616,2192,601,37,149,705,877,196,101,64,3,13524,69,458,"https://fbref.com/en/squads/421387cf/2017-2018/Fiorentina-Stats"
2018,"Freiburg","Bundesliga","team",29,34,15106,13296,1770,490,9,132,471,735,127,45,65,4,11137,40,414,"https://fbref.com/en/squads/a486e511/2017-2018/Freiburg-Stats"
2018,"Freiburg","Bundesliga","opponent",29,34,19027,17276,1683,461,18,127,696,755,171,60,86,1,15037,68,373,"https://fbref.com/en/squads/a486e511/2017-2018/Freiburg-Stats"
2018,"Genoa","Serie A","team",33,38,17652,15620,1946,510,32,131,769,818,183,95,63,2,13335,86,405,"https://fbref.com/en/squads/658bf2de/2017-2018/Genoa-Stats"
2018,"Genoa","Serie A","opponent",33,38,20858,18848,1976,613,36,207,717,827,157,75,54,3,16723,34,374,"https://fbref.com/en/squads/658bf2de/2017-2018/Genoa-Stats"
2018,"Getafe","La Liga","team",32,38,13193,10994,2091,590,53,243,585,917,181,42,73,2,8531,108,340,"https://fbref.com/en/squads/7848bd64/2017-2018/Getafe-Stats"
2018,"Getafe","La Liga","opponent",32,38,20094,17884,2101,742,54,226,694,841,180,62,74,5,15456,109,353,"https://fbref.com/en/squads/7848bd64/2017-2018/Getafe-Stats"
2018,"Girona","La Liga","team",25,38,16037,14020,1937,603,31,339,828,767,176,36,66,20,11843,80,298,"https://fbref.com/en/squads/9024a00a/2017-2018/Girona-Stats"
2018,"Girona","La Liga","opponent",25,38,18292,16166,1997,647,99,127,614,833,170,62,66,0,14053,129,306,"https://fbref.com/en/squads/9024a00a/2017-2018/Girona-Stats"
2018,"Gladbach","Bundesliga","team",27,34,18200,16381,1746,469,23,129,490,744,168,27,124,1,14595,73,426,"https://fbref.com/en/squads/32f3ee20/2017-2018/Monchengladbach-Stats"
2018,"Gladbach","Bundesliga","opponent",27,34,17055,15330,1665,447,17,117,732,701,179,63,91,5,13473,60,444,"https://fbref.com/en/squads/32f3ee20/2017-2018/Monchengladbach-Stats"
2018,"Guingamp","Ligue 1","team",23,38,17950,15798,2052,592,25,174,727,867,190,85,76,6,13835,100,355,"https://fbref.com/en/squads/d41b5f53/2017-2018/Guingamp-Stats"
2018,"Guingamp","Ligue 1","opponent",23,38,18424,16228,2095,561,76,146,703,931,205,74,98,2,14325,101,326,"https://fbref.com/en/squads/d41b5f53/2017-2018/Guingamp-Stats"
2018,"Hamburger SV","Bundesliga","team",29,34,15211,13163,1987,524,13,112,668,910,203,73,81,0,10836,61,475,"https://fbref.com/en/squads/26790c6a/2017-2018/Hamburger-SV-Stats"
2018,"Hamburger SV","Bundesliga","opponent",29,34,15906,13929,1902,534,20,116,575,854,178,72,81,3,11669,75,458,"https://fbref.com/en/squads/26790c6a/2017-2018/Hamburger-SV-Stats"
2018,"Hannover 96","Bundesliga","team",26,34,15033,13075,1905,559,9,90,579,825,134,55,69,5,10896,53,442,"https://fbref.com/en/squads/60b5e41f/2017-2018/Hannover-96-Stats"
2018,"Hannover 96","Bundesliga","opponent",26,34,17240,15292,1884,509,26,148,678,827,197,76,104,3,13042,64,416,"https://fbref.com/en/squads/60b5e41f/2017-2018/Hannover-96-Stats"
2018,"Hellas Verona","Serie A","team",32,38,15669,13636,1954,482,19,187,665,791,143,41,68,3,11540,79,369,"https://fbref.com/en/squads/0e72edf2/2017-2018/Hellas-Verona-Stats"
2018,"Hellas Verona","Serie A","opponent",32,38,21886,19805,2008,547,66,188,938,881,240,106,94,6,17752,73,382,"https://fbref.com/en/squads/0e72edf2/2017-2018/Hellas-Verona-Stats"
2018,"Hertha BSC","Bundesliga","team",25,34,15682,13938,1697,519,7,129,528,694,127,24,85,4,11790,47,400,"https://fbref.com/en/squads/2818f8bc/2017-2018/Hertha-BSC-Stats"
2018,"Hertha BSC","Bundesliga","opponent",25,34,18490,16697,1722,508,15,99,662,766,174,59,90,6,14561,71,437,"https://fbref.com/en/squads/2818f8bc/2017-2018/Hertha-BSC-Stats"
2018,"Hoffenheim","Bundesliga","team",26,34,17437,15696,1663,506,24,111,592,657,158,65,71,0,13876,78,413,"https://fbref.com/en/squads/033ea6b8/2017-2018/Hoffenheim-Stats"
2018,"Hoffenheim","Bundesliga","opponent",26,34,16724,14819,1822,555,15,153,601,717,165,75,71,2,13175,83,421,"https://fbref.com/en/squads/033ea6b8/2017-2018/Hoffenheim-Stats"
2018,"Huddersfield","Premier League","team",25,38,16822,14785,1970,478,26,82,765,927,165,101,32,6,12036,67,415,"https://fbref.com/en/squads/f5922ca5/2017-2018/Huddersfield-Town-Stats"
2018,"Huddersfield","Premier League","opponent",25,38,20856,18764,1974,415,57,125,637,1021,209,102,82,4,16103,118,418,"https://fbref.com/en/squads/f5922ca5/2017-2018/Huddersfield-Town-Stats"
2018,"Inter","Serie A","team",22,38,22926,20927,1905,470,57,169,1042,766,289,93,109,7,18939,94,427,"https://fbref.com/en/squads/d609edc0/2017-2018/Internazionale-Stats"
2018,"Inter","Serie A","opponent",22,38,17430,15486,1867,518,35,212,712,706,184,81,64,2,13680,77,338,"https://fbref.com/en/squads/d609edc0/2017-2018/Internazionale-Stats"
2018,"Juventus","Serie A","team",24,38,23688,21897,1712,507,55,330,672,711,186,54,65,7,20215,79,386,"https://fbref.com/en/squads/e0652b02/2017-2018/Juventus-Stats"
2018,"Juventus","Serie A","opponent",24,38,17703,15946,1715,487,18,161,609,707,129,58,50,1,14127,42,322,"https://fbref.com/en/squads/e0652b02/2017-2018/Juventus-Stats"
2018,"Köln","Bundesliga","team",31,34,15875,14008,1786,532,6,107,663,681,173,74,90,4,11807,81,426,"https://fbref.com/en/squads/bc357bf7/2017-2018/Koln-Stats"
2018,"Köln","Bundesliga","opponent",31,34,17649,15834,1764,523,22,124,736,704,183,62,108,2,13753,51,400,"https://fbref.com/en/squads/bc357bf7/2017-2018/Koln-Stats"
2018,"La Coruña","La Liga","team",32,38,16975,14924,1957,516,43,222,747,796,203,91,54,1,12784,94,323,"https://fbref.com/en/squads/2a60ed82/2017-2018/Deportivo-La-Coruna-Stats"
2018,"La Coruña","La Liga","opponent",32,38,19584,17453,2048,560,37,255,756,880,220,74,106,3,15475,83,362,"https://fbref.com/en/squads/2a60ed82/2017-2018/Deportivo-La-Coruna-Stats"
2018,"Las Palmas","La Liga","team",36,38,19788,17574,2133,748,49,197,581,777,175,77,59,0,15824,81,320,"https://fbref.com/en/squads/0049d422/2017-2018/Las-Palmas-Stats"
2018,"Las Palmas","La Liga","opponent",36,38,16479,14486,1879,532,73,154,666,778,200,75,80,3,12571,114,317,"https://fbref.com/en/squads/0049d422/2017-2018/Las-Palmas-Stats"
2018,"Lazio","Serie A","team",24,38,20347,18446,1804,403,87,159,734,789,217,88,89,9,16436,97,442,"https://fbref.com/en/squads/7213da33/2017-2018/Lazio-Stats"
2018,"Lazio","Serie A","opponent",24,38,19672,17797,1821,494,44,197,596,725,156,69,49,0,15809,54,392,"https://fbref.com/en/squads/7213da33/2017-2018/Lazio-Stats"
2018,"Leganés","La Liga","team",28,38,14887,12781,2009,592,29,162,690,891,152,60,75,1,10383,97,351,"https://fbref.com/en/squads/7c6f2c78/2017-2018/Leganes-Stats"
2018,"Leganés","La Liga","opponent",28,38,20217,18099,2028,652,48,247,638,812,176,44,71,4,15687,90,340,"https://fbref.com/en/squads/7c6f2c78/2017-2018/Leganes-Stats"
2018,"Leicester City","Premier League","team",27,38,17124,15046,1986,424,63,170,744,954,203,137,28,0,12357,92,370,"https://fbref.com/en/squads/a2d435b3/2017-2018/Leicester-City-Stats"
2018,"Leicester City","Premier League","opponent",27,38,18852,16777,1996,432,54,163,752,978,216,109,73,5,14205,79,445,"https://fbref.com/en/squads/a2d435b3/2017-2018/Leicester-City-Stats"
2018,"Levante","La Liga","team",33,38,14768,12732,1966,540,44,161,726,818,182,61,79,9,10715,70,360,"https://fbref.com/en/squads/9800b6a1/2017-2018/Levante-Stats"
2018,"Levante","La Liga","opponent",33,38,20115,18022,1980,584,51,240,741,797,194,77,75,4,16099,113,338,"https://fbref.com/en/squads/9800b6a1/2017-2018/Levante-Stats"
2018,"Leverkusen","Bundesliga","team",24,34,18621,16757,1806,522,31,174,658,779,172,112,51,2,14731,58,458,"https://fbref.com/en/squads/c7a9f859/2017-2018/Bayer-Leverkusen-Stats"
2018,"Leverkusen","Bundesliga","opponent",24,34,15508,13669,1787,484,9,107,468,782,132,49,72,1,11659,52,456,"https://fbref.com/en/squads/c7a9f859/2017-2018/Bayer-Leverkusen-Stats"
2018,"Lille","Ligue 1","team",25,38,20060,18073,1900,496,61,137,614,805,171,69,74,1,16258,87,377,"https://fbref.com/en/squads/cb188c0c/2017-2018/Lille-Stats"
2018,"Lille","Ligue 1","opponent",25,38,17524,15505,1948,533,50,134,630,852,184,83,74,1,13710,71,326,"https://fbref.com/en/squads/cb188c0c/2017-2018/Lille-Stats"
2018,"Liverpool","Premier League","team",27,38,24900,23034,1796,391,106,146,764,896,230,122,69,1,20367,70,382,"https://fbref.com/en/squads/822bd0ba/2017-2018/Liverpool-Stats"
2018,"Liverpool","Premier League","opponent",27,38,16343,14426,1820,385,49,132,504,793,125,64,37,5,11830,97,388,"https://fbref.com/en/squads/822bd0ba/2017-2018/Liverpool-Stats"
2018,"Lyon","Ligue 1","team",26,38,20965,19005,1880,540,74,119,572,816,182,102,60,0,17480,80,357,"https://fbref.com/en/squads/d53c0b06/2017-2018/Lyon-Stats"
2018,"Lyon","Ligue 1","opponent",26,38,16781,14786,1944,514,43,167,742,799,188,80,73,2,12936,51,353,"https://fbref.com/en/squads/d53c0b06/2017-2018/Lyon-Stats"
2018,"Mainz 05","Bundesliga","team",27,34,14181,12344,1770,461,7,131,546,791,148,85,51,0,10267,67,372,"https://fbref.com/en/squads/a224b06a/2017-2018/Mainz-05-Stats"
2018,"Mainz 05","Bundesliga","opponent",27,34,18014,15991,1987,568,15,131,630,859,190,66,104,3,13856,36,485,"https://fbref.com/en/squads/a224b06a/2017-2018/Mainz-05-Stats"
2018,"Manchester City","Premier League","team",25,38,29961,28178,1716,418,118,213,691,779,284,17,141,2,26164,67,404,"https://fbref.com/en/squads/b8fd03ef/2017-2018/Manchester-City-Stats"
2018,"Manchester City","Premier League","opponent",25,38,12187,10316,1774,390,49,77,364,731,103,59,23,7,8395,97,321,"https://fbref.com/en/squads/b8fd03ef/2017-2018/Manchester-City-Stats"
2018,"Manchester Utd","Premier League","team",27,38,21865,19929,1848,456,85,176,753,809,220,111,65,1,17765,88,398,"https://fbref.com/en/squads/19538871/2017-2018/Manchester-United-Stats"
2018,"Manchester Utd","Premier League","opponent",27,38,17783,16006,1725,477,47,109,642,691,175,91,64,4,13672,52,349,"https://fbref.com/en/squads/19538871/2017-2018/Manchester-United-Stats"
2018,"Marseille","Ligue 1","team",26,38,21066,19057,1931,521,116,159,864,834,243,109,83,4,17221,78,337,"https://fbref.com/en/squads/5725cc7b/2017-2018/Marseille-Stats"
2018,"Marseille","Ligue 1","opponent",26,38,15235,13152,2023,552,32,174,570,875,150,46,81,2,11370,60,377,"https://fbref.com/en/squads/5725cc7b/2017-2018/Marseille-Stats"
